ID,Year,Waste Comapny Code,Value,Type
29,2005,1012,3060.9,Undifferentiated
30,2005,1013,5954.7,Undifferentiated
31,2005,1014,2677.8,Undifferentiated
32,2005,1015,32817.8,Undifferentiated
33,2005,1016,2427.0,Undifferentiated
34,2005,9999,150549.3,Undifferentiated
35,2006,1001,2509.1,Undifferentiated
36,2006,1002,1936.2,Undifferentiated
37,2006,1003,4589.9,Undifferentiated
38,2006,1004,9832.7,Undifferentiated
39,2006,1005,2261.9,Undifferentiated
40,2006,1006,6523.0,Undifferentiated
41,2006,1007,6581.8,Undifferentiated
42,2006,1008,14315.4,Undifferentiated
43,2006,1009,16812.0,Undifferentiated
44,2006,1010,18056.2,Undifferentiated
45,2006,1011,4083.8,Undifferentiated
46,2006,1012,2002.1,Undifferentiated
47,2006,1013,5744.7,Undifferentiated
48,2006,1014,2553.1,Undifferentiated
49,2006,1015,31771.7,Undifferentiated
50,2006,1016,2058.3,Undifferentiated
51,2006,9999,131631.6,Undifferentiated
52,2007,1001,2664.0,Undifferentiated
53,2007,1002,1610.0,Undifferentiated
54,2007,1003,4540.0,Undifferentiated
55,2007,1004,6411.0,Undifferentiated
56,2007,1005,1935.0,Undifferentiated
57,2007,1006,6151.0,Undifferentiated
58,2007,1007,5663.0,Undifferentiated
59,2007,1008,11783.0,Undifferentiated
60,2007,1009,16411.0,Undifferentiated
61,2007,1010,15153.0,Undifferentiated
62,2007,1011,4428.0,Undifferentiated
63,2007,1012,1981.0,Undifferentiated
64,2007,1013,3959.0,Undifferentiated
65,2007,1014,2361.0,Undifferentiated
66,2007,1015,30362.0,Undifferentiated
67,2007,1016,1807.0,Undifferentiated
68,2007,9999,117219.0,Undifferentiated
69,2008,1001,2419.0,Undifferentiated
70,2008,1002,2066.0,Undifferentiated
71,2008,1003,4105.0,Undifferentiated
72,2008,1004,6483.0,Undifferentiated
73,2008,1005,1050.0,Undifferentiated
74,2008,1006,6122.0,Undifferentiated
75,2008,1007,5118.0,Undifferentiated
76,2008,1008,10730.0,Undifferentiated
77,2008,1009,15818.0,Undifferentiated
78,2008,1010,14781.0,Undifferentiated
79,2008,1011,3923.0,Undifferentiated
80,2008,1012,1675.0,Undifferentiated
81,2008,1013,3555.0,Undifferentiated
82,2008,1014,2208.0,Undifferentiated
