Stazione,Inquinante,Data,Ora,Valore,Unità di misura
A22 (Avio),Ossido di Carbonio,2024-09-01,8,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,9,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,10,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,11,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,12,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,13,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,14,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,15,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,16,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,17,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,18,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,19,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,20,0.7,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,21,0.7,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,22,0.7,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,23,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-01,24,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,1,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,2,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,3,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,4,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,5,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,6,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,7,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,8,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,9,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,10,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,11,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,12,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,13,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,14,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,15,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,16,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,17,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,18,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,19,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,20,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,21,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,22,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,23,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-02,24,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,1,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,2,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,3,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,4,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,5,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,6,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,7,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,8,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,9,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,10,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,11,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,12,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,13,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,14,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,15,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,16,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,17,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,18,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,19,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,20,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,21,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,22,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,23,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-03,24,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,1,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,2,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,3,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,4,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,5,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,6,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,7,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,8,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,9,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,10,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,11,0.6,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,12,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,13,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,14,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,15,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,16,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,17,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,18,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,19,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,20,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,21,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,22,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,23,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-04,24,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-05,1,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-05,2,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-05,3,0.5,mg/mc
A22 (Avio),Ossido di Carbonio,2024-09-05,4,0.5,mg/mc
Monte Gaza,PM10,2024-09-01,1,29,µg/mc
Monte Gaza,PM10,2024-09-01,2,28,µg/mc
Monte Gaza,PM10,2024-09-01,3,22,µg/mc
Monte Gaza,PM10,2024-09-01,4,20,µg/mc
Monte Gaza,PM10,2024-09-01,5,17,µg/mc
Monte Gaza,PM10,2024-09-01,6,18,µg/mc
Monte Gaza,PM10,2024-09-01,7,16,µg/mc
Monte Gaza,PM10,2024-09-01,8,14,µg/mc
Monte Gaza,PM10,2024-09-01,9,12,µg/mc
Monte Gaza,PM10,2024-09-01,10,14,µg/mc
Monte Gaza,PM10,2024-09-01,11,13,µg/mc
Monte Gaza,PM10,2024-09-01,12,12,µg/mc
Monte Gaza,PM10,2024-09-01,13,13,µg/mc
Monte Gaza,PM10,2024-09-01,14,13,µg/mc
Monte Gaza,PM10,2024-09-01,15,14,µg/mc
Monte Gaza,PM10,2024-09-01,16,14,µg/mc
Monte Gaza,PM10,2024-09-01,17,16,µg/mc
Monte Gaza,PM10,2024-09-01,18,18,µg/mc
Monte Gaza,PM10,2024-09-01,19,17,µg/mc
Monte Gaza,PM10,2024-09-01,20,16,µg/mc
Monte Gaza,PM10,2024-09-01,21,17,µg/mc
Monte Gaza,PM10,2024-09-01,22,17,µg/mc
Monte Gaza,PM10,2024-09-01,23,17,µg/mc
Monte Gaza,PM10,2024-09-01,24,20,µg/mc
Monte Gaza,PM10,2024-09-02,1,21,µg/mc
Monte Gaza,PM10,2024-09-02,2,20,µg/mc
Monte Gaza,PM10,2024-09-02,3,20,µg/mc
Monte Gaza,PM10,2024-09-02,4,19,µg/mc
Monte Gaza,PM10,2024-09-02,5,19,µg/mc
Monte Gaza,PM10,2024-09-02,6,18,µg/mc
Monte Gaza,PM10,2024-09-02,7,17,µg/mc
Monte Gaza,PM10,2024-09-02,8,16,µg/mc
Monte Gaza,PM10,2024-09-02,9,15,µg/mc
Monte Gaza,PM10,2024-09-02,10,15,µg/mc
Monte Gaza,PM10,2024-09-02,11,13,µg/mc
Monte Gaza,PM10,2024-09-02,12,15,µg/mc
Monte Gaza,PM10,2024-09-02,13,17,µg/mc
Monte Gaza,PM10,2024-09-02,14,17,µg/mc
Monte Gaza,PM10,2024-09-02,15,14,µg/mc
Monte Gaza,PM10,2024-09-02,16,18,µg/mc
Monte Gaza,PM10,2024-09-02,17,18,µg/mc
Monte Gaza,PM10,2024-09-02,18,17,µg/mc
Monte Gaza,PM10,2024-09-02,19,17,µg/mc
Monte Gaza,PM10,2024-09-02,20,16,µg/mc
Monte Gaza,PM10,2024-09-02,21,18,µg/mc
Monte Gaza,PM10,2024-09-02,22,20,µg/mc
Monte Gaza,PM10,2024-09-02,23,25,µg/mc
Monte Gaza,PM10,2024-09-02,24,23,µg/mc
Monte Gaza,PM10,2024-09-03,1,23,µg/mc
Monte Gaza,PM10,2024-09-03,2,23,µg/mc
Monte Gaza,PM10,2024-09-03,3,22,µg/mc
Monte Gaza,PM10,2024-09-03,4,23,µg/mc
Monte Gaza,PM10,2024-09-03,5,23,µg/mc
Monte Gaza,PM10,2024-09-03,6,22,µg/mc
Monte Gaza,PM10,2024-09-03,7,21,µg/mc
Monte Gaza,PM10,2024-09-03,8,17,µg/mc
Monte Gaza,PM10,2024-09-03,9,16,µg/mc
Monte Gaza,PM10,2024-09-03,10,17,µg/mc
Monte Gaza,PM10,2024-09-03,11,16,µg/mc
Monte Gaza,PM10,2024-09-03,12,15,µg/mc
Monte Gaza,PM10,2024-09-03,13,17,µg/mc
Monte Gaza,PM10,2024-09-03,14,18,µg/mc
Monte Gaza,PM10,2024-09-03,15,17,µg/mc
Monte Gaza,PM10,2024-09-03,16,18,µg/mc
Monte Gaza,PM10,2024-09-03,17,15,µg/mc
Monte Gaza,PM10,2024-09-03,18,16,µg/mc
Monte Gaza,PM10,2024-09-03,19,16,µg/mc
Monte Gaza,PM10,2024-09-03,20,20,µg/mc
Monte Gaza,PM10,2024-09-03,21,22,µg/mc
Monte Gaza,PM10,2024-09-03,22,23,µg/mc
Monte Gaza,PM10,2024-09-03,23,20,µg/mc
Monte Gaza,PM10,2024-09-03,24,20,µg/mc
Monte Gaza,PM10,2024-09-04,1,19,µg/mc
Monte Gaza,PM10,2024-09-04,2,19,µg/mc
Monte Gaza,PM10,2024-09-04,3,23,µg/mc
Monte Gaza,PM10,2024-09-04,4,23,µg/mc
Monte Gaza,PM10,2024-09-04,5,22,µg/mc
Monte Gaza,PM10,2024-09-04,6,20,µg/mc
Monte Gaza,PM10,2024-09-04,7,19,µg/mc
Monte Gaza,PM10,2024-09-04,8,17,µg/mc
Monte Gaza,PM10,2024-09-04,9,16,µg/mc
Monte Gaza,PM10,2024-09-04,10,14,µg/mc
Monte Gaza,PM10,2024-09-04,11,14,µg/mc
Monte Gaza,PM10,2024-09-04,12,14,µg/mc
Monte Gaza,PM10,2024-09-04,13,9,µg/mc
Monte Gaza,PM10,2024-09-04,14,9,µg/mc
Monte Gaza,PM10,2024-09-04,15,9,µg/mc
Monte Gaza,PM10,2024-09-04,16,9,µg/mc
Monte Gaza,PM10,2024-09-04,17,8,µg/mc
Monte Gaza,PM10,2024-09-04,18,10,µg/mc
Monte Gaza,PM10,2024-09-04,19,12,µg/mc
Monte Gaza,PM10,2024-09-04,20,9,µg/mc
Monte Gaza,PM10,2024-09-04,21,15,µg/mc
Monte Gaza,PM10,2024-09-04,22,20,µg/mc
Monte Gaza,PM10,2024-09-04,23,18,µg/mc
Monte Gaza,PM10,2024-09-04,24,17,µg/mc
Monte Gaza,PM10,2024-09-05,1,17,µg/mc
Monte Gaza,PM10,2024-09-05,2,16,µg/mc
Monte Gaza,PM10,2024-09-05,3,16,µg/mc
Monte Gaza,PM10,2024-09-05,4,14,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,1,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,2,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,3,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,4,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,5,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,6,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,7,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,8,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,9,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,10,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,11,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,12,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,13,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,14,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,15,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,16,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,17,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,18,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,19,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,20,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,21,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,22,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,23,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-01,24,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,1,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,2,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,3,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,4,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,5,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,6,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,7,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,8,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,9,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,10,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,11,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,12,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,13,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,14,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,15,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,16,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,17,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,18,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,19,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,20,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,21,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,22,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,23,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-02,24,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,1,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,2,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,3,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,4,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,5,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,6,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,7,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,8,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,9,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,10,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,11,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,12,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,13,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,14,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,15,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,16,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,17,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,18,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,19,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,20,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,21,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,22,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,23,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-03,24,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,1,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,2,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,3,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,4,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,5,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,6,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,7,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,8,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,9,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,10,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,11,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,12,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,13,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,14,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,15,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,16,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,17,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,18,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,19,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,20,3,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,21,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,22,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,23,5,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-04,24,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-05,1,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-05,2,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-05,3,4,µg/mc
Monte Gaza,Biossido di Azoto,2024-09-05,4,3,µg/mc
Monte Gaza,Ozono,2024-09-01,1,155,µg/mc
Monte Gaza,Ozono,2024-09-01,2,147,µg/mc
Monte Gaza,Ozono,2024-09-01,3,139,µg/mc
Monte Gaza,Ozono,2024-09-01,4,137,µg/mc
Monte Gaza,Ozono,2024-09-01,5,142,µg/mc
Monte Gaza,Ozono,2024-09-01,6,145,µg/mc
Monte Gaza,Ozono,2024-09-01,7,143,µg/mc
Monte Gaza,Ozono,2024-09-01,8,131,µg/mc
Monte Gaza,Ozono,2024-09-01,9,125,µg/mc
Monte Gaza,Ozono,2024-09-01,10,132,µg/mc
Monte Gaza,Ozono,2024-09-01,11,130,µg/mc
Monte Gaza,Ozono,2024-09-01,12,128,µg/mc
Monte Gaza,Ozono,2024-09-01,13,130,µg/mc
Monte Gaza,Ozono,2024-09-01,14,129,µg/mc
Monte Gaza,Ozono,2024-09-01,15,132,µg/mc
Monte Gaza,Ozono,2024-09-01,16,134,µg/mc
Monte Gaza,Ozono,2024-09-01,17,142,µg/mc
Monte Gaza,Ozono,2024-09-01,18,143,µg/mc
Monte Gaza,Ozono,2024-09-01,19,143,µg/mc
Monte Gaza,Ozono,2024-09-01,20,142,µg/mc
Monte Gaza,Ozono,2024-09-01,21,146,µg/mc
Monte Gaza,Ozono,2024-09-01,22,147,µg/mc
Monte Gaza,Ozono,2024-09-01,23,148,µg/mc
Monte Gaza,Ozono,2024-09-01,24,152,µg/mc
Monte Gaza,Ozono,2024-09-02,1,152,µg/mc
Monte Gaza,Ozono,2024-09-02,2,151,µg/mc
Monte Gaza,Ozono,2024-09-02,3,143,µg/mc
Monte Gaza,Ozono,2024-09-02,4,139,µg/mc
Monte Gaza,Ozono,2024-09-02,5,137,µg/mc
Monte Gaza,Ozono,2024-09-02,6,130,µg/mc
Monte Gaza,Ozono,2024-09-02,7,120,µg/mc
Monte Gaza,Ozono,2024-09-02,8,121,µg/mc
Monte Gaza,Ozono,2024-09-02,9,119,µg/mc
Monte Gaza,Ozono,2024-09-02,10,118,µg/mc
Monte Gaza,Ozono,2024-09-02,11,119,µg/mc
Monte Gaza,Ozono,2024-09-02,12,121,µg/mc
Monte Gaza,Ozono,2024-09-02,13,127,µg/mc
Monte Gaza,Ozono,2024-09-02,14,135,µg/mc
Monte Gaza,Ozono,2024-09-02,15,138,µg/mc
Monte Gaza,Ozono,2024-09-02,16,140,µg/mc
Monte Gaza,Ozono,2024-09-02,17,140,µg/mc
Monte Gaza,Ozono,2024-09-02,18,135,µg/mc
Monte Gaza,Ozono,2024-09-02,19,135,µg/mc
Monte Gaza,Ozono,2024-09-02,20,139,µg/mc
Monte Gaza,Ozono,2024-09-02,21,135,µg/mc
Monte Gaza,Ozono,2024-09-02,22,140,µg/mc
Monte Gaza,Ozono,2024-09-02,23,148,µg/mc
Monte Gaza,Ozono,2024-09-02,24,142,µg/mc
Monte Gaza,Ozono,2024-09-03,1,141,µg/mc
Monte Gaza,Ozono,2024-09-03,2,140,µg/mc
Monte Gaza,Ozono,2024-09-03,3,140,µg/mc
Monte Gaza,Ozono,2024-09-03,4,141,µg/mc
Monte Gaza,Ozono,2024-09-03,5,139,µg/mc
Monte Gaza,Ozono,2024-09-03,6,133,µg/mc
Monte Gaza,Ozono,2024-09-03,7,131,µg/mc
Monte Gaza,Ozono,2024-09-03,8,116,µg/mc
Monte Gaza,Ozono,2024-09-03,9,117,µg/mc
Monte Gaza,Ozono,2024-09-03,10,130,µg/mc
Monte Gaza,Ozono,2024-09-03,11,125,µg/mc
Monte Gaza,Ozono,2024-09-03,12,129,µg/mc
Monte Gaza,Ozono,2024-09-03,13,132,µg/mc
Monte Gaza,Ozono,2024-09-03,14,135,µg/mc
Monte Gaza,Ozono,2024-09-03,15,134,µg/mc
Monte Gaza,Ozono,2024-09-03,16,130,µg/mc
Monte Gaza,Ozono,2024-09-03,17,128,µg/mc
Monte Gaza,Ozono,2024-09-03,18,124,µg/mc
Monte Gaza,Ozono,2024-09-03,19,124,µg/mc
Monte Gaza,Ozono,2024-09-03,20,142,µg/mc
Monte Gaza,Ozono,2024-09-03,21,142,µg/mc
Monte Gaza,Ozono,2024-09-03,22,147,µg/mc
Monte Gaza,Ozono,2024-09-03,23,141,µg/mc
Monte Gaza,Ozono,2024-09-03,24,140,µg/mc
Monte Gaza,Ozono,2024-09-04,1,141,µg/mc
Monte Gaza,Ozono,2024-09-04,2,138,µg/mc
Monte Gaza,Ozono,2024-09-04,3,140,µg/mc
Monte Gaza,Ozono,2024-09-04,4,138,µg/mc
Monte Gaza,Ozono,2024-09-04,5,141,µg/mc
Monte Gaza,Ozono,2024-09-04,6,142,µg/mc
Monte Gaza,Ozono,2024-09-04,7,137,µg/mc
Monte Gaza,Ozono,2024-09-04,8,127,µg/mc
Monte Gaza,Ozono,2024-09-04,9,124,µg/mc
Monte Gaza,Ozono,2024-09-04,10,130,µg/mc
Monte Gaza,Ozono,2024-09-04,11,124,µg/mc
Monte Gaza,Ozono,2024-09-04,12,123,µg/mc
Monte Gaza,Ozono,2024-09-04,13,122,µg/mc
Monte Gaza,Ozono,2024-09-04,14,123,µg/mc
Monte Gaza,Ozono,2024-09-04,15,116,µg/mc
Monte Gaza,Ozono,2024-09-04,16,114,µg/mc
Monte Gaza,Ozono,2024-09-04,17,116,µg/mc
Monte Gaza,Ozono,2024-09-04,18,114,µg/mc
Monte Gaza,Ozono,2024-09-04,19,117,µg/mc
Monte Gaza,Ozono,2024-09-04,20,118,µg/mc
Monte Gaza,Ozono,2024-09-04,21,131,µg/mc
Monte Gaza,Ozono,2024-09-04,22,144,µg/mc
Monte Gaza,Ozono,2024-09-04,23,141,µg/mc
Monte Gaza,Ozono,2024-09-04,24,138,µg/mc
Monte Gaza,Ozono,2024-09-05,1,135,µg/mc
Monte Gaza,Ozono,2024-09-05,2,132,µg/mc
Monte Gaza,Ozono,2024-09-05,3,133,µg/mc
Monte Gaza,Ozono,2024-09-05,4,125,µg/mc
