Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
Segonzano,22172,345,1920,F,267.78,23.0,384.8,0.0,0.0,3420,1.5,69
Bocenago,22018,28,1934,F,185.9,208.0,455.6,0.0,0.0,3561,69.6,70
Riva del Garda,22153,307,2013,E,38.58,14.53,53.11,0.0,0.0,2276,11.04,71
Trento,22205,406,1965,E,21.88,27.68,49.56,0.0,0.0,2567,10.09,72
Riva del Garda,22153,307,2013,E,39.78,15.09,53.3,0.0,0.0,2276,11.32,73
Ala,22001,98,2007,E,229.5,22.4,251.9,0.0,0.0,2672,49.9,74
Predazzo,22147,290,1978,F,99.4,28.17,175.51,0.0,0.0,4295,34.08,75
Fierozzo,22085,150,1984,F,186.62,25.86,330.13,0.0,0.0,4149,43.0,76
San Michele all'Adige,22167,170,2007,E,69.21,13.52,83.5,0.0,0.0,2849,17.05,77
Scurelle,22171,343,1930,E,182.09,21.37,220.69,0.0,0.0,2976,42.5,78
Telve,22188,382,1800,F,209.48,18.26,256.41,0.0,0.0,3249,46.1,79
Riva del Garda,22153,307,2013,E,42.21,15.08,55.26,0.0,0.0,2276,11.84,80
Ton,22200,427,1900,F,158.8,35.2,221.5,0.0,0.0,3143,50.1,81
Cinte Tesino,22059,102,2008,F,86.45,18.63,137.0,0.0,0.0,3718,0.0,82
Trento,22205,406,1975,E,71.54,60.17,131.71,0.0,0.0,2567,41.59,83
Fai della Paganella,22081,144,1900,F,15.6,41.8,68.0,0.0,0.0,3884,11.5,84
Trento,22205,355,1970,F,161.7,25.3,226.6,0.0,0.0,3001,37.4,85
Pinzolo,22143,280,1974,F,245.8,60.6,306.4,0.0,0.0,3592,80.3,86
Ala,22001,2,1900,E,503.56,37.07,541.33,0.0,0.0,2672,124.34,87
Civezzano,22061,105,1969,F,292.64,33.83,358.41,0.0,0.0,3127,66.14,88
Ala,22001,2,1900,E,170.98,25.14,197.71,0.0,0.0,2672,39.42,89
Terzolas,22195,392,1985,F,19.94,0.62,23.79,0.0,0.0,3569,0.32,90
Ala,22001,2,1900,E,217.25,27.89,246.88,0.0,0.0,2672,49.46,91
Cavalese,22050,86,1964,F,172.7,21.5,328.4,0.0,0.0,4028,3.4,92
