Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
Castello-Molina di Fiemme,22047,82,1910,F,274.35,20.86,295.21,0.0,0.0,3750,79.07,821
Levico Terme,22104,190,1900,F,66.58,0.73,77.22,0.0,0.0,3075,13.04,822
Aldeno,22003,4,1992,E,31.38,23.27,55.71,0.0,0.0,2720,10.9,823
Livo,22106,192,1900,F,986.11,62.42,1140.14,0.0,0.0,3547,255.49,824
Campitello di Fassa,22036,59,1984,F,25.0,0.0,45.7,0.0,0.0,4892,6.6,825
Civezzano,22061,105,2002,F,154.26,24.74,205.63,0.0,0.0,3127,35.76,826
Civezzano,22061,105,2002,F,121.24,24.74,168.81,0.0,0.0,3127,29.17,827
Telve,22188,382,1972,F,489.19,44.75,639.91,0.0,0.0,3249,106.39,828
Telve,22188,382,1972,F,272.33,24.55,363.86,0.0,0.0,3249,78.44,829
Canazei,22039,66,1974,F,139.7,37.4,237.4,0.0,0.0,4918,46.8,830
Mazzin,22113,223,1978,F,169.73,25.58,299.52,0.0,0.0,4773,33.17,831
Levico Terme,22104,190,1960,F,111.1,1.06,141.56,0.0,0.0,3075,48.59,832
Folgaria,22087,154,2004,F,107.83,27.11,201.25,0.0,0.0,4141,41.0,833
Nago-Torbole,22124,248,1900,E,263.81,23.02,208.79,0.0,0.0,2276,102.01,834
Nago-Torbole,22124,248,1900,E,274.52,24.88,217.65,0.0,0.0,2276,106.52,835
Nago-Torbole,22124,248,1900,E,218.52,21.11,173.26,0.0,0.0,2276,66.26,836
Storo,22183,365,2014,F,9.66,1.14,12.06,0.0,0.0,3029,2.21,837
Nago-Torbole,22124,248,1900,E,215.78,20.24,174.84,0.0,0.0,2276,54.7,838
Valfloriana,22209,412,1967,F,456.9,54.7,511.6,0.0,0.0,3721,134.8,839
Vallarsa,22210,413,2014,F,113.41,20.78,173.14,0.0,0.0,3520,30.1,840
Vallarsa,22210,413,2014,F,94.84,20.79,149.56,0.0,0.0,3520,26.0,841
Vallarsa,22210,413,2014,F,111.18,20.77,170.49,0.0,0.0,3520,29.6,842
Vallarsa,22210,413,2014,F,157.25,20.0,230.58,0.0,0.0,3520,39.8,843
Mazzin,22113,223,1980,F,173.59,18.74,319.0,0.0,0.0,4773,33.97,844
Campitello di Fassa,22036,59,1860,F,233.78,39.57,388.86,0.0,0.0,4892,73.12,845
Sanzeno,22169,75,1960,F,29.65,3.92,49.7,0.0,0.0,3237,24.0,846
Ossana,22131,261,1980,F,89.62,25.2,170.17,0.0,0.0,3955,30.67,847
Canazei,22039,66,1985,F,70.36,28.11,166.07,0.0,0.0,4918,25.84,848
Pomarolo,22144,282,1900,E,98.41,28.97,129.97,0.0,0.0,2716,26.06,849
Ossana,22131,261,1980,F,167.61,28.21,279.65,0.0,0.0,3955,52.31,850
Ossana,22131,261,1980,F,130.91,28.21,230.54,0.0,0.0,3955,42.5,851
Caldes,22033,330,1800,F,586.72,33.68,720.29,0.0,0.0,3326,142.68,852
Lona-Lases,22108,182,2013,F,31.17,11.7,52.7,0.0,0.0,3388,8.57,853
Andalo,22005,7,1980,F,195.65,42.78,352.61,0.0,0.0,4016,98.0,854
Telve,22188,382,1920,F,378.09,74.6,543.86,0.0,0.0,3249,32.32,855
Calceranica al Lago,22032,53,1980,F,214.83,16.09,259.26,0.0,0.0,3066,46.12,856
Caldonazzo,22034,55,1970,F,248.02,58.43,351.69,0.0,0.0,3089,113.77,857
Mezzolombardo,22117,232,1850,E,30.71,0.93,32.33,0.0,0.0,2835,7.0,858
Caldonazzo,22034,55,1970,F,252.33,63.07,360.42,0.0,0.0,3089,115.75,859
Ziano di Fiemme,22226,445,1993,F,130.8,23.7,220.3,0.0,0.0,3877,30.9,860
Caldonazzo,22034,55,1961,F,376.77,58.79,501.31,0.0,0.0,3089,172.83,861
Lavarone,22102,184,1989,F,75.34,12.77,135.25,0.0,0.0,4147,17.6,862
Aldeno,22003,4,2000,E,137.39,29.81,168.47,0.0,0.0,2720,33.85,863
Avio,22007,12,1900,E,39.25,0.0,39.15,0.0,0.0,2580,9.03,864
Avio,22007,12,1980,E,220.12,26.6,244.6,0.0,0.0,2580,49.74,865
Baselga di PinÃ¨,22009,18,1951,F,130.7,62.89,266.04,0.0,0.0,3790,69.0,866
Brentonico,22025,44,1971,F,133.59,29.75,204.67,0.0,0.0,3470,33.64,867
Folgaria,22087,154,1800,F,65.99,1.58,108.74,0.0,0.0,4141,30.0,868
Lavis,22103,185,2010,E,9.4,1.06,10.7,0.0,0.0,2784,2.1,869
Folgaria,22087,154,1980,F,50.9,0.55,83.52,0.0,0.0,4141,17.0,870
Caldonazzo,22034,55,1961,F,235.72,60.65,333.22,0.0,0.0,3089,60.0,871
Folgaria,22087,154,1997,F,80.07,2.67,158.02,0.0,0.0,4141,43.0,872
Aldeno,22003,4,1900,E,128.1,22.5,151.4,0.0,0.0,2720,30.1,873
Besenello,22013,22,2007,E,43.37,9.42,53.78,0.0,0.0,2734,10.7,874
Imer,22097,171,1958,F,234.48,30.41,308.78,0.0,0.0,3436,69.98,875
Andalo,22005,7,1995,F,61.42,62.9,156.42,0.0,0.0,4016,45.36,876
Mezzolombardo,22117,232,1980,E,245.31,20.51,270.96,0.0,0.0,2835,56.0,877
Levico Terme,22104,190,1980,F,39.4,8.8,54.0,0.0,0.0,3075,9.6,878
Storo,22183,365,1890,F,130.47,25.81,169.99,0.0,0.0,3029,31.56,879
Pomarolo,22144,282,2002,E,65.0,35.9,101.2,0.0,0.0,2716,20.1,880
Andalo,22005,7,1969,F,21.08,0.16,31.87,0.0,0.0,4016,4.27,881
Volano,22224,442,1968,E,167.81,24.1,194.14,0.0,0.0,2689,39.16,882
Campitello di Fassa,22036,59,1950,F,185.71,25.39,337.15,0.0,0.0,4892,36.33,883
Volano,22224,442,1968,E,207.05,60.95,271.14,0.0,0.0,2689,67.77,884
Lavarone,22102,184,2005,F,61.5,1.0,94.2,0.0,0.0,4147,34.8,885
Aldeno,22003,4,1900,E,104.0,22.5,127.2,0.0,0.0,2720,25.3,886
Baselga di PinÃ¨,22009,233,1971,F,364.7,30.39,527.91,0.0,0.0,3790,79.89,887
Andalo,22005,7,1969,F,43.57,12.66,77.68,0.0,0.0,4016,11.38,888
Mezzano,22115,229,1998,F,47.29,2.49,68.66,0.0,0.0,3389,15.0,889
Carisolo,22042,72,1995,F,111.61,59.61,206.27,0.0,0.0,3651,56.13,890
Sover,22177,358,1845,F,206.84,45.1,305.22,0.0,0.0,3687,8.99,891
Moena,22118,235,1965,F,162.4,32.2,275.0,0.0,0.0,4238,51.3,892
Albiano,22002,3,1975,F,116.9,18.95,152.46,0.0,0.0,3395,27.14,893
Bocenago,22018,28,2003,F,120.24,43.12,192.44,0.0,0.0,3561,43.7,894
Fai della Paganella,22081,144,2010,F,22.82,28.99,63.01,0.0,0.0,3884,10.61,895
Dro,22079,140,1979,E,453.63,43.58,484.13,0.0,0.0,2354,128.35,896
Terragnolo,22193,390,2010,F,18.24,9.81,36.24,0.0,0.0,3615,5.34,897
MalÃ©,22110,209,1978,F,153.6,24.02,214.14,0.0,0.0,3542,41.35,898
Tesero,22196,393,1900,F,185.24,58.23,323.04,0.0,0.0,4028,11.6,899
Lavis,22103,185,1998,E,90.35,24.17,116.34,0.0,0.0,2784,23.14,900
Lavis,22103,185,1992,E,128.3,25.29,155.4,0.0,0.0,2784,31.0,901
Ton,22200,217,2012,F,45.16,6.63,57.58,0.0,0.0,3143,13.69,902
San Michele all'Adige,22167,333,1970,E,98.87,17.84,118.39,0.0,0.0,2849,23.5,903
PanchiÃ ,22134,264,2014,F,37.98,7.44,64.05,0.0,0.0,3921,45.42,904
Tesero,22196,393,1900,F,205.12,25.98,324.63,0.0,0.0,4028,46.2,905
Torcegno,22202,401,1800,F,152.05,24.46,212.55,0.0,0.0,3590,35.9,906
Torcegno,22202,401,1800,F,32.12,24.92,67.38,0.0,0.0,3590,11.7,907
Castello-Molina di Fiemme,22047,82,1980,F,90.65,21.83,154.83,0.0,0.0,3750,17.69,908
San Michele all'Adige,22167,170,1960,E,162.1,34.26,198.51,0.0,0.0,2849,39.66,909
Scurelle,22171,343,1999,E,187.42,28.01,263.22,0.0,0.0,2976,17.34,910
Pomarolo,22144,282,1900,E,63.86,27.01,92.84,0.0,0.0,2716,18.59,911
Moena,22118,235,1976,F,19.87,8.79,45.69,0.0,0.0,4238,3.89,912
MalÃ©,22110,209,1966,F,128.04,18.87,182.91,0.0,0.0,3542,38.94,913
Lavis,22103,185,1954,E,188.64,26.65,216.87,0.0,0.0,2784,43.46,914
Campitello di Fassa,22036,59,1860,F,81.88,2.75,130.59,0.0,0.0,4892,22.64,915
Baselga di PinÃ¨,22009,233,2000,F,166.16,24.75,253.85,0.0,0.0,3790,40.67,916
Lavis,22103,185,1500,E,340.29,23.41,371.16,0.0,0.0,2784,76.2,917
Albiano,22002,3,1988,F,125.93,22.5,177.98,0.0,0.0,3395,30.0,918
Albiano,22002,3,2013,F,73.79,19.74,113.04,0.0,0.0,3395,19.0,919
Sanzeno,22169,335,1500,F,42.66,0.8,54.14,0.0,0.0,3237,14.0,920
Luserna,22109,201,1800,F,555.99,42.47,899.07,0.0,0.0,4470,0.0,921
Roncegno Terme,22156,312,1950,F,296.42,23.1,375.61,0.0,0.0,3120,64.4,922
Sanzeno,22169,335,1500,F,36.83,0.94,46.99,0.0,0.0,3237,12.0,923
Borgo Valsugana,22022,37,2002,E,127.7,19.6,162.3,0.0,0.0,2984,29.4,924
Sanzeno,22169,75,1981,F,31.69,13.25,55.21,0.0,0.0,3237,1.85,925
Villa Lagarina,22222,436,2005,E,69.82,22.79,93.84,0.0,0.0,2675,13.94,926
Ton,22200,217,1958,F,50.2,19.9,92.3,0.0,0.0,3143,15.8,927
Tione di Trento,22199,397,1982,F,163.34,26.07,223.16,0.0,0.0,3272,50.85,928
Mazzin,22113,223,1990,F,200.43,52.88,392.65,0.0,0.0,4773,47.88,929
Bieno,22015,25,1940,F,195.2,22.2,268.85,0.0,0.0,3880,57.9,930
Giovo,22092,163,1973,F,191.15,21.95,251.05,0.0,0.0,3059,51.0,931
Borgo Valsugana,22022,37,1985,E,39.45,1.83,49.59,0.0,0.0,2984,8.3,932
Borgo Valsugana,22022,37,1985,E,41.69,1.48,51.96,0.0,0.0,2984,8.6,933
Borgo Valsugana,22022,37,1990,E,43.58,1.65,54.53,0.0,0.0,2984,9.0,934
Besenello,22013,22,1995,E,58.55,0.15,59.01,0.0,0.0,2734,11.91,935
Mezzana,22114,228,1988,F,175.27,43.66,286.58,0.0,0.0,3859,57.6,936
Comano Terme,22228,71,2007,F,35.82,22.95,69.68,0.0,0.0,3180,14.21,937
Moena,22118,235,1900,F,302.52,47.58,442.16,0.0,0.0,4238,93.21,938
Telve di Sopra,22189,381,1950,F,265.42,69.73,388.28,0.0,0.0,3405,69.35,939
Dro,22079,140,1987,E,211.09,81.65,286.27,0.0,0.0,2354,78.25,940
Ossana,22131,261,1985,F,92.11,20.32,157.97,0.0,0.0,3955,42.0,941
Stenico,22182,434,1953,F,195.15,25.74,263.67,0.0,0.0,3411,59.09,942
Peio,22136,269,2012,F,89.2,21.9,161.1,0.0,0.0,4221,21.5,943
Peio,22136,269,2012,F,89.9,21.7,163.1,0.0,0.0,4221,21.7,944
Peio,22136,269,2012,F,63.4,21.8,123.5,0.0,0.0,4221,16.3,945
Cavareno,22051,87,1960,F,179.0,39.6,302.9,0.0,0.0,3909,56.3,946
Mezzocorona,22116,230,1800,E,389.03,41.49,434.35,0.0,0.0,2835,99.02,947
Cavareno,22051,87,1960,F,145.2,40.3,255.4,0.0,0.0,3909,42.5,948
Ospedaletto,22130,260,2011,E,33.99,21.16,59.97,0.0,0.0,2952,11.02,949
Carisolo,22042,72,2000,F,18.32,1.49,28.63,0.0,0.0,3651,4.5,950
Vermiglio,22213,420,1969,F,54.3,90.7,171.5,0.0,0.0,4358,6.1,951
Brentonico,22025,44,1930,F,343.4,40.9,384.3,0.0,0.0,3470,80.0,952
Brentonico,22025,44,1930,F,437.2,40.0,477.3,0.0,0.0,3470,91.0,953
Spiazzo,22179,38,1960,F,355.72,22.56,439.68,0.0,0.0,3405,101.8,954
Brentonico,22025,44,1930,F,263.1,40.1,303.2,0.0,0.0,3470,79.0,955
Pellizzano,22137,270,1980,F,91.19,13.85,149.32,0.0,0.0,3834,27.57,956
Comano Terme,22228,71,2007,F,37.78,23.29,74.44,0.0,0.0,3180,15.06,957
Comano Terme,22228,71,2007,F,150.83,23.29,212.31,0.0,0.0,3180,41.52,958
Brentonico,22025,44,1930,F,307.7,39.3,346.9,0.0,0.0,3470,88.0,959
Samone,22165,329,1920,F,150.95,20.4,186.15,0.0,0.0,3441,34.8,960
MalÃ©,22110,209,1996,F,94.63,23.73,154.32,0.0,0.0,3542,31.54,961
Besenello,22013,22,1900,E,478.24,39.65,521.92,0.0,0.0,2734,119.11,962
Carisolo,22042,72,1960,F,103.6,21.8,162.4,0.0,0.0,3651,30.1,963
Campodenno,22037,388,1956,F,320.92,5.89,386.74,0.0,0.0,3224,80.0,964
Carisolo,22042,72,1960,F,139.0,16.9,198.5,0.0,0.0,3651,39.2,965
MalÃ©,22110,209,1985,F,136.45,31.82,210.81,0.0,0.0,3542,22.69,966
Campitello di Fassa,22036,59,1973,F,339.57,45.6,526.85,0.0,0.0,4892,78.13,967
Commezzadura,22064,5,1950,F,625.1,21.1,826.2,0.0,0.0,3717,0.5,968
Romeno,22155,311,1500,F,142.37,30.84,228.4,0.0,0.0,3890,3.2,969
Campitello di Fassa,22036,59,1973,F,336.67,45.6,511.4,0.0,0.0,4892,77.55,970
Andalo,22005,7,1985,F,78.79,62.9,163.69,0.0,0.0,4016,50.04,971
Campitello di Fassa,22036,59,1973,F,61.15,1.23,93.75,0.0,0.0,4892,12.59,972
Fai della Paganella,22081,144,1960,F,291.77,55.04,460.13,0.0,0.0,3884,103.15,973
Massimeno,22112,218,1860,F,344.18,24.44,487.62,0.0,0.0,3734,133.0,974
Ziano di Fiemme,22226,445,2000,F,126.41,25.43,208.84,0.0,0.0,3877,30.24,975
Fai della Paganella,22081,144,2003,F,93.93,25.24,145.63,0.0,0.0,3884,31.94,976
PanchiÃ ,22134,264,2014,F,27.57,8.16,50.79,0.0,0.0,3921,6.27,977
Romeno,22155,311,1920,F,346.29,13.53,469.38,0.0,0.0,3890,63.35,978
Giovo,22092,163,2006,F,152.49,21.14,196.91,0.0,0.0,3059,34.67,979
Grigno,22095,37,1955,E,39.57,0.87,42.1,0.0,0.0,2801,9.0,980
Grigno,22095,37,1981,E,22.13,1.26,24.43,0.0,0.0,2801,5.0,981
Mezzocorona,22116,230,1784,E,209.5,32.5,247.8,0.0,0.0,2835,55.4,982
Peio,22136,92,2012,F,27.83,31.64,78.79,0.0,0.0,4221,13.77,983
Mezzocorona,22116,230,1970,E,155.6,35.2,193.1,0.0,0.0,2835,38.1,984
Grigno,22095,37,1885,E,40.28,0.8,42.73,0.0,0.0,2801,9.0,985
Mezzocorona,22116,230,1969,E,85.9,44.8,132.8,0.0,0.0,2835,26.1,986
Carzano,22043,74,1970,F,238.75,26.01,272.76,0.0,0.0,3066,53.2,987
Cavedago,22052,88,1994,F,190.49,30.99,300.8,0.0,0.0,3739,57.81,988
Romeno,22155,311,2014,F,39.12,8.41,71.33,0.0,0.0,3890,0.62,989
Carisolo,22042,72,1990,F,141.99,63.74,248.69,0.0,0.0,3651,65.52,990
Carisolo,22042,72,1990,F,245.21,63.74,366.26,0.0,0.0,3651,93.16,991
Novaledo,22129,257,1900,F,207.76,19.65,252.46,0.0,0.0,3026,45.81,992
Levico Terme,22104,190,1988,F,32.51,0.9,36.69,0.0,0.0,3075,6.74,993
Carisolo,22042,72,1995,F,142.77,74.09,261.2,0.0,0.0,3651,55.58,994
Giovo,22092,163,1950,F,168.8,2.73,201.22,0.0,0.0,3059,3.54,995
Castello Tesino,22048,83,1996,F,39.86,19.27,77.97,0.0,0.0,3955,11.96,996
San Michele all'Adige,22167,333,1974,E,115.47,20.92,139.42,0.0,0.0,2849,27.2,997
Castello Tesino,22048,83,1996,F,21.42,19.27,53.65,0.0,0.0,3955,8.23,998
Sant'Orsola Terme,22168,334,1930,F,180.8,20.4,264.5,0.0,0.0,3729,53.51,999
Cimone,22058,101,1998,F,143.1,65.6,213.9,0.0,0.0,3218,51.3,1000
Avio,22007,12,1995,E,86.6,21.2,107.8,0.0,0.0,2580,21.0,1001
Aldeno,22003,4,1977,E,238.57,20.75,261.37,0.0,0.0,2720,53.34,1002
Aldeno,22003,4,1977,E,242.11,20.74,264.89,0.0,0.0,2720,54.07,1003
Aldeno,22003,4,1977,E,161.99,20.74,184.19,0.0,0.0,2720,37.57,1004
Capriana,22040,68,1875,F,200.5,13.65,316.04,0.0,0.0,4039,85.0,1005
Castelnuovo,22049,84,1900,E,327.88,48.75,396.47,0.0,0.0,2934,75.25,1006
Capriana,22040,68,1960,F,63.55,2.1,94.36,0.0,0.0,4039,19.0,1007
Capriana,22040,68,1860,F,53.26,2.11,84.84,0.0,0.0,4039,23.0,1008
Brentonico,22025,44,1930,F,288.1,39.7,327.8,0.0,0.0,3470,83.0,1009
Andalo,22005,7,1974,F,169.73,7.27,249.26,0.0,0.0,4016,47.31,1010
Tesero,22196,393,1950,F,100.39,21.55,173.03,0.0,0.0,4028,40.0,1011
Calliano,22035,56,2008,E,148.7,25.9,174.2,0.0,0.0,2686,34.9,1012
Levico Terme,22104,190,1900,F,39.65,0.0,51.49,0.0,0.0,3075,10.29,1013
Cavareno,22051,87,1978,F,232.84,25.37,380.3,0.0,0.0,3909,67.75,1014
Pieve Tesino,22142,278,1985,F,183.19,54.65,304.4,0.0,0.0,3706,74.23,1015
Mezzolombardo,22117,232,1970,E,74.1,21.19,96.97,0.0,0.0,2835,19.17,1016
Mezzolombardo,22117,232,2007,E,42.57,28.46,71.73,0.0,0.0,2835,14.66,1017
Levico Terme,22104,190,1970,F,141.84,30.9,175.68,0.0,0.0,3075,34.51,1018
Mezzana,22114,228,1980,F,280.4,26.9,431.0,0.0,0.0,3859,82.28,1019
Vignola-Falesina,22216,426,1950,F,183.57,16.19,300.9,0.0,0.0,3926,0.0,1020
Telve,22188,382,1920,F,271.05,25.12,352.16,0.0,0.0,3249,60.27,1021
Tione di Trento,22199,397,1987,F,9.54,0.23,11.23,0.0,0.0,3272,0.0,1022
Commezzadura,22064,220,1950,F,52.77,42.42,117.56,0.0,0.0,3717,20.31,1023
Avio,22007,36,1900,E,233.08,21.37,252.61,0.0,0.0,2580,51.27,1024
Peio,22136,269,1976,F,358.9,20.8,602.2,0.0,0.0,4221,75.9,1025
Ronzo-Chienis,22135,317,1900,F,505.71,39.65,657.46,0.0,0.0,3837,125.43,1026
Dro,22079,140,1900,E,121.32,27.59,144.96,0.0,0.0,2354,31.35,1027
Ronzo-Chienis,22135,97,1964,F,56.79,20.6,110.1,0.0,0.0,3837,20.9,1028
Canazei,22039,66,1950,F,227.5,24.3,397.1,0.0,0.0,4918,49.1,1029
Rumo,22163,324,1971,F,219.69,27.9,298.8,0.0,0.0,3863,64.29,1030
Mazzin,22113,223,1975,F,81.0,28.8,169.5,0.0,0.0,4773,24.0,1031
Tione di Trento,22199,397,1966,F,177.62,28.57,231.15,0.0,0.0,3272,41.56,1032
Commezzadura,22064,276,1991,F,170.53,33.86,271.88,0.0,0.0,3717,43.37,1033
Nogaredo,22127,253,2009,E,156.05,27.03,184.97,0.0,0.0,2731,37.01,1034
Roncegno Terme,22156,312,2003,F,25.16,24.13,55.25,0.0,0.0,3120,10.4,1035
Brentonico,22025,44,2012,F,90.34,19.18,113.24,0.0,0.0,3470,24.0,1036
Storo,22183,365,1978,F,95.65,21.81,132.05,0.0,0.0,3029,24.64,1037
Roncegno Terme,22156,312,1900,F,203.11,20.59,242.09,0.0,0.0,3120,45.4,1038
Rumo,22163,324,1983,F,314.34,27.57,482.83,0.0,0.0,3863,129.0,1039
Villa Lagarina,22222,436,1980,E,185.67,19.65,204.79,0.0,0.0,2675,41.0,1040
Sant'Orsola Terme,22168,208,1983,F,39.39,24.68,85.17,0.0,0.0,3729,17.09,1041
Sant'Orsola Terme,22168,208,1983,F,43.78,25.59,91.77,0.0,0.0,3729,18.51,1042
Sant'Orsola Terme,22168,208,1983,F,24.15,21.74,61.38,0.0,0.0,3729,12.24,1043
Canazei,22039,66,1912,F,250.61,25.1,469.08,0.0,0.0,4918,60.01,1044
Canazei,22039,66,1912,F,166.15,25.23,308.93,0.0,0.0,4918,39.79,1045
Castello-Molina di Fiemme,22047,82,1980,F,90.65,21.83,154.83,0.0,0.0,3750,17.69,1046
Mezzana,22114,259,1900,F,177.87,62.89,286.45,0.0,0.0,3859,33.92,1047
Tesero,22196,393,2001,F,72.5,23.9,128.1,0.0,0.0,4028,19.3,1048
Avio,22007,12,1970,E,78.17,32.68,112.34,0.0,0.0,2580,24.21,1049
Tenno,22191,287,1800,F,79.9,24.33,115.94,0.0,0.0,3058,24.59,1050
Bedollo,22011,20,2007,F,83.8,11.4,141.7,0.0,0.0,4043,19.0,1051
Bedollo,22011,20,2007,F,94.3,17.0,161.6,0.0,0.0,4043,22.3,1052
Calceranica al Lago,22032,53,1950,F,326.23,26.96,398.69,0.0,0.0,3066,71.0,1053
Pellizzano,22137,270,1800,F,554.83,54.65,889.95,0.0,0.0,3834,152.75,1054
Avio,22007,12,2012,E,12.09,3.92,16.23,0.0,0.0,2580,2.35,1055
Castello-Molina di Fiemme,22047,82,1890,F,187.81,26.59,303.65,0.0,0.0,3750,42.84,1056
Campitello di Fassa,22036,59,1950,F,68.38,9.78,137.9,0.0,0.0,4892,15.8,1057
Canazei,22039,66,1992,F,75.3,21.2,158.5,0.0,0.0,4918,25.7,1058
Ronzone,22159,318,1966,F,591.76,60.1,824.4,0.0,0.0,4082,163.75,1059
Avio,22007,12,1930,E,35.86,1.2,36.75,0.0,0.0,2580,7.53,1060
Lavarone,22102,184,2014,F,11.31,2.14,14.0,0.0,0.0,4147,5.35,1061
Scurelle,22171,343,2011,E,614.81,21.96,831.69,0.0,0.0,2976,5.05,1062
Rabbi,22150,300,2014,F,11.42,0.62,19.74,0.0,0.0,4099,3.31,1063
Imer,22097,171,1952,F,158.83,34.78,282.15,0.0,0.0,3436,78.0,1064
Giustino,22093,164,1967,F,146.55,20.92,167.47,0.0,0.0,3592,28.71,1065
Calceranica al Lago,22032,53,1989,F,213.45,44.62,282.45,0.0,0.0,3066,52.39,1066
Tesero,22196,393,1900,F,662.76,59.23,896.15,0.0,0.0,4028,114.84,1067
Avio,22007,12,1972,E,52.44,23.14,75.91,0.0,0.0,2580,15.42,1068
Commezzadura,22064,220,1986,F,39.6,4.5,59.5,0.0,0.0,3717,32.0,1069
Commezzadura,22064,220,1986,F,44.3,2.5,63.8,0.0,0.0,3717,33.4,1070
Vallarsa,22210,413,1977,F,133.5,20.7,207.42,0.0,0.0,3520,41.26,1071
Vallarsa,22210,413,1977,F,134.93,20.7,207.42,0.0,0.0,3520,41.64,1072
Commezzadura,22064,220,1986,F,105.3,34.0,176.4,0.0,0.0,3717,36.7,1073
Peio,22136,91,1900,F,65.71,13.09,124.92,0.0,0.0,4221,17.43,1074
Besenello,22013,22,1930,E,157.22,1.54,162.28,0.0,0.0,2734,31.6,1075
Capriana,22040,320,1983,F,36.24,11.05,68.27,0.0,0.0,4039,12.34,1076
Moena,22118,235,1900,F,84.2,23.0,160.2,0.0,0.0,4238,23.6,1077
Caderzone Terme,22029,49,2012,F,25.27,7.98,42.42,0.0,0.0,3519,3.6,1078
Denno,22074,131,1932,F,186.96,21.83,238.01,0.0,0.0,3060,56.61,1079
Denno,22074,131,2006,F,16.4,0.56,19.36,0.0,0.0,3060,3.44,1080
Denno,22074,131,2006,F,14.28,0.6,16.98,0.0,0.0,3060,3.02,1081
Denno,22074,131,2006,F,14.1,1.58,17.9,0.0,0.0,3060,3.59,1082
Bieno,22015,25,1920,F,262.01,4.06,325.01,0.0,0.0,3880,45.92,1083
Ossana,22131,261,1990,F,191.76,24.16,315.64,0.0,0.0,3955,74.0,1084
Denno,22074,131,2006,F,15.77,0.67,18.73,0.0,0.0,3060,3.34,1085
Caderzone Terme,22029,49,1996,F,107.9,30.27,178.93,0.0,0.0,3519,41.0,1086
Castello Tesino,22048,83,1960,F,267.25,21.21,352.63,0.0,0.0,3955,58.28,1087
Caldes,22033,40,1900,F,229.09,31.02,353.17,0.0,0.0,3326,95.0,1088
Dro,22079,140,1970,E,106.62,1.69,105.26,0.0,0.0,2354,22.21,1089
Molveno,22120,240,1987,F,72.49,31.24,132.3,0.0,0.0,3740,27.26,1090
Levico Terme,22104,190,2008,F,85.07,10.07,111.69,0.0,0.0,3075,19.25,1091
Sover,22177,358,1957,F,38.95,4.36,62.42,0.0,0.0,3687,8.98,1092
Ronzone,22159,318,1970,F,77.73,3.71,120.03,0.0,0.0,4082,18.16,1093
San Michele all'Adige,22167,333,1900,E,222.49,21.06,247.23,0.0,0.0,2849,68.41,1094
Castello Tesino,22048,83,1996,F,32.99,19.27,65.17,0.0,0.0,3955,10.57,1095
Lavarone,22102,184,1975,F,79.01,25.06,151.69,0.0,0.0,4147,21.04,1096
San Michele all'Adige,22167,333,1960,E,151.83,25.13,179.09,0.0,0.0,2849,35.73,1097
Bocenago,22018,28,2001,F,47.36,25.65,90.26,0.0,0.0,3561,19.4,1098
Levico Terme,22104,190,1950,F,95.17,27.47,139.93,0.0,0.0,3075,122.64,1099
Denno,22074,131,1950,F,39.9,1.32,46.95,0.0,0.0,3060,8.3,1100
Denno,22074,131,1900,F,37.95,0.62,43.47,0.0,0.0,3060,7.76,1101
San Michele all'Adige,22167,170,2007,E,78.81,23.41,103.39,0.0,0.0,2849,20.58,1102
Cis,22060,104,1900,F,35.61,1.62,47.0,0.0,0.0,3381,10.1,1103
Brentonico,22025,44,1920,F,235.82,24.88,330.59,0.0,0.0,3470,47.03,1104
Brentonico,22025,44,1902,F,226.37,53.95,354.55,0.0,0.0,3470,55.9,1105
Canal San Bovo,22038,64,1950,F,225.49,34.03,344.5,0.0,0.0,3572,59.4,1106
Isera,22098,214,1901,E,255.02,29.54,291.35,0.0,0.0,2773,57.44,1107
Spiazzo,22179,38,1996,F,99.86,29.59,155.39,0.0,0.0,3405,27.16,1108
Peio,22136,109,1975,F,128.57,27.76,227.13,0.0,0.0,4221,63.0,1109
Tesero,22196,393,1700,F,186.6,29.0,220.8,0.0,0.0,4028,18.8,1110
Peio,22136,109,1975,F,97.65,25.76,184.03,0.0,0.0,4221,51.0,1111
Tesero,22196,393,1700,F,181.5,29.0,239.9,0.0,0.0,4028,21.9,1112
Nogaredo,22127,253,1970,E,103.39,26.3,130.97,0.0,0.0,2731,25.91,1113
Telve,22188,382,2011,F,20.83,11.55,35.58,0.0,0.0,3249,6.45,1114
Denno,22074,131,1999,F,71.99,24.84,107.58,0.0,0.0,3060,19.67,1115
Denno,22074,131,1999,F,63.7,25.74,99.51,0.0,0.0,3060,18.17,1116
Pellizzano,22137,270,1991,F,17.02,0.02,25.07,0.0,0.0,3834,0.34,1117
Pellizzano,22137,270,1995,F,92.73,24.34,156.7,0.0,0.0,3834,0.0,1118
Pellizzano,22137,270,1995,F,27.26,0.0,38.29,0.0,0.0,3834,0.33,1119
Pellizzano,22137,386,1997,F,138.78,21.69,210.23,0.0,0.0,3834,40.26,1120
Pellizzano,22137,270,2003,F,27.31,2.66,40.39,0.0,0.0,3834,0.0,1121
Denno,22074,131,1999,F,78.98,25.25,115.93,0.0,0.0,3060,21.17,1122
